key_A,b_t_q,no_voie,type_voie,voie,code_postal,commune
0_A,A,190.0,RUE,CENTRALE,1370,SAINT-ETIENNE-DU-BOIS
1_A,,347.0,RUE,DU CHATEAU,1170,CHEVRY
2_A,,58.0,AV,DU MONT BLANC,1220,DIVONNE-LES-BAINS
3_A,,140.0,RUE,DE L'ABBE JOLIVET,1630,PERON
4_A,,39.0,RUE,BUFFON,1200,VALSERHONE
5_A,,28.0,AV,JEAN FALCONNIER,1350,CULOZ
6_A,,8.0,RUE,DE GENEVE,1630,ST-GENIS-POUILLY
7_A,,2.0,RUE,DU RECULET,1630,ST-GENIS-POUILLY
8_A,,1403.0,RUE,JEAN DE GINGINS,1220,DIVONNE-LES-BAINS
9_A,,226.0,ALL,DES CAPUCINES,1630,ST-GENIS-POUILLY
10_A,,8.0,ALL,DE LA CLE DES CHAMPS,69580,SATHONAY-VILLAGE
11_A,,276.0,RTE,DE POUGNY,1630,PERON
12_A,,79.0,CRS,DE VERDUN,1100,OYONNAX
13_A,B,77.0,RUE,DU COMMERCE,1130,ST-GERMAIN-DE-JOUX
14_A,,240.0,RUE,DE PRE BAILLY,1170,GEX
15_A,,3.0,RUE,TURENNE,1200,VALSERHONE
16_A,,44.0,ALL,DU SQUARE DE LAUSANNE,1220,DIVONNE-LES-BAINS
17_A,,59.0,RUE,ALEXANDRE BERARD,1500,AMBERIEU-EN-BUGEY
18_A,,282.0,CHE,DES LONGES RAYES,1170,CESSY
18_A,,282.0,CHE,DES LONGES RAYES,1170,CESSY
19_A,,,RUE,PIERRE CURIE,95470,VEMARS
19_A,,,RUE,PIERRE CURIE,95470,VEMARS
20_A,,54.0,GR,GRANDE RUE,1150,SAULT-BRENAZ
21_A,,1.0,RUE,DE GEX,1210,FERNEY-VOLTAIRE
22_A,,17.0,LOT,LES JARDINS DE CHEVRY,1170,CHEVRY
23_A,,329.0,RUE,DES CARPIERES,1170,SEGNY
24_A,,21.0,RUE,CHRISTIAN MOENCH,54000,NANCY
24_A,,21.0,RUE,CHRISTIAN MOENCH,54000,NANCY
25_A,,10.0,RUE,POINTIN,80000,AMIENS
26_A,,369.0,AV,CHARLES DE GAULLE,1150,LAGNIEU
27_A,,52.0,RUE,FRANCOIS PEYRON,38220,VIZILLE
28_A,,88.0,RUE,DE LA PAPETERIE,95610,ERAGNY-SUR-OISE
29_A,,154.0,RUE,SUR LA VIGNETTE,1130,LE POIZAT-LALLEYRIAT
30_A,,6.0,RUE,DES USINIERS,1170,GEX
31_A,,2.0,RUE,DU JURA,1630,ST-GENIS-POUILLY
32_A,,54.0,RUE,MARCEL DEMIA,1500,AMBERIEU-EN-BUGEY
33_A,,269.0,CHE,DE CHARIGNIN,1300,BELLEY
34_A,,4.0,RUE,PEYROLOUBILH,64200,BIARRITZ
35_A,,68.0,RUE,BERNARD PALISSY,77210,AVON
36_A,,322.0,RUE,DE BRETIGNY,1210,ORNEX
36_A,,322.0,RUE,DE BRETIGNY,1210,ORNEX
37_A,,132.0,ALL,DES HETRES,1630,ST-GENIS-POUILLY
38_A,,80.0,RUE,DE MEYRIN,1210,FERNEY-VOLTAIRE
38_A,,80.0,RUE,DE MEYRIN,1210,FERNEY-VOLTAIRE
39_A,,4.0,RUE,DE LA MAIRIE,1350,CULOZ
40_A,,79.0,GR,GRANDE RUE DE BULLIEZ,1150,LAGNIEU
41_A,,8.0,RUE,DE LA BIENNE,1590,DORTAN
42_A,,29.0,RUE,REINE CLOTILDE,1500,AMBERIEU-EN-BUGEY
43_A,,3.0,RUE,STE MARIE,1300,BELLEY
44_A,,956.0,RTE,DE BOURG,1150,LAGNIEU
45_A,,1.0,AV,DU BIJOU,1210,FERNEY-VOLTAIRE
46_A,,58.0,CHE,DE LA PLANCHE BRULEE,1210,FERNEY-VOLTAIRE
47_A,,211.0,RUE,CHANTEPIE,1280,PREVESSIN-MOENS
48_A,,25.0,RUE,DE LA ROCHE SAMUEL,1110,BRENOD
49_A,,25.0,RUE,DE LA COMMUNE 1871,1500,AMBERIEU-EN-BUGEY
50_A,,6.0,,DE LA TOUR,1640,SAINT-JEAN-LE-VIEUX
51_A,,91.0,CHE,DE LA PLANCHE BRULEE,1210,FERNEY-VOLTAIRE
52_A,,3.0,RUE,DU DOCTEUR GREZEL,1130,NANTUA
53_A,,28.0,RUE,DU DOC CHARCOT,1500,SAINT-DENIS-EN-BUGEY
54_A,,312.0,RUE,DES TERRASSES,1710,THOIRY
55_A,,10.0,RUE,AMPERE,1100,OYONNAX
56_A,,1.0,RUE,GERARD DE NERVAL,1100,BELLIGNAT
57_A,,10.0,RUE,DES HAUTAINS,1630,ST-GENIS-POUILLY
57_A,,10.0,RUE,DES HAUTAINS,1630,ST-GENIS-POUILLY
58_A,,102.0,MAIL,DU NEUTRINO,1280,PREVESSIN-MOENS
59_A,,84.0,RUE,DE MEYRIN,1210,FERNEY-VOLTAIRE
60_A,,115.0,RUE,MASONOD,1110,PLATEAU D'HAUTEVILLE
61_A,,5.0,RUE,RONSARD,10800,SAINT JULIEN LES VILLAS
62_A,,812.0,RUE,DES VERTES CAMPAGNES,1170,GEX
63_A,,26.0,CHE,DE LA PLANCHE BRULEE,1210,FERNEY-VOLTAIRE
64_A,,2.0,RUE,DE CHAMP FUSY,1630,ST-GENIS-POUILLY
65_A,,53.0,ALL,DES PRUNUS,1630,ST-GENIS-POUILLY
65_A,,53.0,ALL,DES PRUNUS,1630,ST-GENIS-POUILLY
66_A,,541.0,RUE,DES MONTS JURA,1410,LELEX
67_A,,386.0,CHE,DES SOUPIRS,1300,BELLEY
68_A,,663.0,RTE,BLANCHE,1170,SEGNY
69_A,,377.0,RUE,DES ABATTOIRS,1170,GEX
70_A,,2.0,RUE,SAINT DENIS,93110,ROSNY-SOUS-BOIS
71_A,,60.0,ALL,DES FRERES CAUDRON,1500,AMBERIEU-EN-BUGEY
72_A,,1.0,RUE,DES LICES,53000,LAVAL
73_A,,86.0,RUE,DE LA REPUBLIQUE,1200,VALSERHONE
74_A,,148.0,IMP,DU SAUGY,1210,ORNEX
75_A,J,77.0,LOT,CLOS CHAMP VRILLARD,1170,CESSY
76_A,,27.0,RLE,DE L EGLISE,1170,GEX
77_A,,5.0,PL,DE L EGLISE,1150,LAGNIEU
78_A,,94.0,ALL,SIMON VAN DER MEER,1280,PREVESSIN-MOENS
79_A,,242.0,RUE,DE PRE BAILLY,1170,GEX
80_A,,8.0,RTE,DE DIVONNE,1170,VESANCY
81_A,,24.0,RUE,LAMARTINE,1200,VALSERHONE
82_A,,88.0,RUE,DU PETIT CHAMP,1710,THOIRY
83_A,,27.0,RUE,DES VERGERS,1710,THOIRY
84_A,,5.0,MAIL,DU PASTEL,31320,AUZEVILLE-TOLOSANE
85_A,,250.0,RUE,DES FRENES,1580,IZERNORE
86_A,,13.0,RUE,JEAN MONNET,1500,AMBERIEU-EN-BUGEY
87_A,,2.0,RUE,DE LA BATISSE,1500,AMBERIEU-EN-BUGEY
88_A,,33.0,RUE,DE GENEVE,1630,ST-GENIS-POUILLY
89_A,,30.0,RUE,DE VERSOIX,1210,FERNEY-VOLTAIRE
91_A,,923.0,RTE,DE MURY,1170,ECHENEVEX
