key_B,surface_carrez_lot1,surface_bati,nb_pieces,type_local,nb_lots,key_A
0_B,50.42,52,2,Appartement,1,0_A
1_B,48.22,48,3,Appartement,2,1_A
2_B,130.8,130,6,Appartement,2,2_A
3_B,109.22,109,5,Maison,1,3_A
4_B,108.65,91,4,Appartement,2,4_A
5_B,31.65,32,2,Appartement,1,5_A
6_B,52.58,52,2,Appartement,1,6_A
7_B,58.71,60,2,Appartement,1,7_A
8_B,93.23,96,4,Maison,3,8_A
9_B,117.0,117,5,Maison,1,9_A
9_B,117.0,117,5,Maison,1,10_A
10_B,35.6,36,2,Appartement,1,11_A
11_B,138.03,137,5,Appartement,2,12_A
12_B,42.0,43,2,Appartement,1,13_A
13_B,45.36,45,2,Appartement,2,14_A
14_B,82.6,84,4,Appartement,2,15_A
15_B,88.11,88,4,Appartement,1,16_A
16_B,164.87,143,6,Appartement,1,17_A
17_B,42.2,42,2,Appartement,2,18_A
172_B,42.59,42,2,Appartement,2,18_A
17_B,42.2,42,2,Appartement,2,19_A
8088_B,23.05,23,1,Appartement,1,19_A
18_B,68.11,65,3,Appartement,1,20_A
19_B,82.59,75,3,Appartement,1,21_A
20_B,30.23,30,1,Appartement,1,22_A
21_B,24.8,25,1,Appartement,1,23_A
21_B,24.8,25,1,Appartement,1,24_A
9886_B,29.99,30,1,Appartement,1,24_A
21_B,24.8,25,1,Appartement,1,25_A
22_B,52.6,52,2,Appartement,1,26_A
22_B,52.6,52,2,Appartement,1,27_A
22_B,52.6,52,2,Appartement,1,28_A
23_B,91.69,88,3,Appartement,1,29_A
24_B,45.54,45,1,Appartement,1,30_A
25_B,84.24,83,3,Appartement,1,31_A
26_B,68.23,68,3,Appartement,1,32_A
27_B,62.03,64,3,Appartement,1,33_A
27_B,62.03,64,3,Appartement,1,34_A
27_B,62.03,64,3,Appartement,1,35_A
28_B,112.93,109,4,Maison,1,36_A
78_B,90.33,90,4,Maison,1,36_A
29_B,131.91,133,4,Appartement,1,37_A
30_B,63.58,63,3,Appartement,3,38_A
123_B,63.54,63,3,Appartement,3,38_A
31_B,35.86,50,3,Appartement,1,39_A
32_B,70.09,74,3,Appartement,2,40_A
33_B,200.0,121,4,Appartement,1,41_A
34_B,54.84,62,2,Appartement,2,42_A
35_B,72.75,73,4,Appartement,2,43_A
36_B,94.09,88,2,Maison,1,44_A
37_B,71.08,71,3,Appartement,2,45_A
38_B,97.03,101,4,Maison,1,46_A
39_B,44.48,45,2,Appartement,1,47_A
40_B,64.21,63,2,Appartement,1,48_A
41_B,70.1,68,3,Maison,2,49_A
42_B,76.7,90,4,Appartement,1,50_A
43_B,133.77,120,4,Appartement,2,51_A
44_B,107.61,106,5,Appartement,1,52_A
45_B,42.78,43,2,Appartement,1,53_A
46_B,124.55,120,5,Maison,1,54_A
47_B,68.11,67,2,Appartement,1,55_A
48_B,70.78,68,3,Appartement,2,56_A
49_B,112.3,112,5,Appartement,1,57_A
165_B,111.06,112,5,Appartement,1,57_A
50_B,95.43,95,4,Maison,1,58_A
51_B,63.45,63,3,Appartement,3,59_A
52_B,77.3,75,4,Appartement,2,60_A
52_B,77.3,75,4,Appartement,2,61_A
53_B,164.18,160,6,Maison,1,62_A
54_B,66.95,67,3,Appartement,2,63_A
55_B,30.62,31,1,Appartement,2,64_A
56_B,165.92,166,5,Appartement,1,65_A
