code_postal,code_departement
1370,1
1170,1
1220,1
1630,1
1200,1
1350,1
69580,69
1100,1
1130,1
1500,1
95470,95
1150,1
1210,1
54000,54
80000,80
38220,38
95610,95
1300,1
64200,64
77210,77
1590,1
1280,1
1110,1
1640,1
1710,1
10800,10
1410,1
93110,93
53000,53
31320,31
1580,1
75011,75
1550,1
1260,1
71600,71
6000,6
1360,1
91620,91
92800,92
83500,83
31240,31
30300,30
44570,44
1330,1
1800,1
1090,1
1120,1
1480,1
1390,1
33100,33
69003,69
2300,2
2000,2
2800,2
83420,83
75020,75
17000,17
2410,2
2700,2
2670,2
33130,33
94120,94
2100,2
2200,2
75013,75
2290,2
2600,2
2880,2
2370,2
78800,78
83980,83
77700,77
2400,2
34570,34
2130,2
29200,29
3000,3
31300,31
41000,41
3400,3
3300,3
3200,3
4200,4
4500,4
4400,4
4160,4
94440,94
4000,4
4140,4
85180,85
4260,4
4120,4
4850,4
62600,62
4340,4
75016,75
75018,75
4800,4
77173,77
10000,10
69100,69
77100,77
85100,85
33000,33
60280,60
65110,65
95800,95
72000,72
4130,4
4300,4
91790,91
4100,4
40510,40
4700,4
82000,82
44100,44
35400,35
49500,49
38000,38
42100,42
48100,48
59300,59
83150,83
84000,84
4180,4
91420,91
4210,4
4290,4
4220,4
94270,94
34200,34
4230,4
4330,4
56170,56
91560,91
92130,92
6220,6
26000,26
38290,38
78670,78
75003,75
50400,50
73700,73
5300,5
5260,5
5230,5
5560,5
5200,5
5100,5
5170,5
5340,5
5120,5
5000,5
5250,5
5800,5
95200,95
5460,5
5240,5
5400,5
5700,5
5600,5
6110,6
51100,51
94430,94
5290,5
65120,65
76600,76
75004,75
5500,5
83160,83
5220,5
5160,5
76250,76
44000,44
37000,37
44380,44
5330,5
69007,69
6300,6
43000,43
62000,62
78280,78
6100,6
94300,94
6730,6
91580,91
85800,85
6340,6
95110,95
28230,28
42400,42
95190,95
93250,93
6950,6
95500,95
38100,38
78430,78
94130,94
33300,33
91700,91
97200,972
78120,78
6200,6
78570,78
49000,49
24510,24
78990,78
14800,14
76000,76
45000,45
28000,28
34280,34
56100,56
91410,91
