key_T,date,valeur,key_A,key_B
0_T,2020-02-03,56000.0,0_A,0_B
1_T,2020-01-02,165000.0,1_A,1_B
2_T,2020-01-08,720000.0,2_A,2_B
3_T,2020-01-06,429250.0,3_A,3_B
4_T,2020-01-07,220900.0,4_A,4_B
5_T,2020-01-21,42000.0,5_A,5_B
6_T,2020-01-07,262000.0,6_A,6_B
7_T,2020-01-08,190000.0,7_A,7_B
8_T,2020-01-16,563130.0,8_A,8_B
9_T,2020-01-17,535000.0,9_A,9_B
14337_T,2020-05-18,453700.0,10_A,9_B
10_T,2020-01-16,330000.0,11_A,10_B
11_T,2020-01-27,110600.0,12_A,11_B
12_T,2020-01-30,50000.0,13_A,12_B
13_T,2020-01-09,212000.0,14_A,13_B
14_T,2020-01-15,160000.0,15_A,14_B
15_T,2020-01-20,561550.0,16_A,15_B
16_T,2020-01-28,358000.0,17_A,16_B
17_T,2020-01-22,220000.0,18_A,17_B
172_T,2020-06-11,220470.0,18_A,172_B
28351_T,2020-03-13,163500.0,19_A,17_B
28318_T,2020-02-19,104000.0,19_A,8088_B
18_T,2020-01-27,79300.0,20_A,18_B
19_T,2020-01-06,285000.0,21_A,19_B
20_T,2020-01-27,123100.0,22_A,20_B
21_T,2020-01-16,107500.0,23_A,21_B
12085_T,2020-06-16,62000.0,24_A,21_B
12032_T,2020-05-26,77500.0,24_A,9886_B
19491_T,2020-01-16,61600.0,25_A,21_B
22_T,2020-01-30,128810.0,26_A,22_B
8745_T,2020-03-27,97000.0,27_A,22_B
28041_T,2020-02-24,175470.0,28_A,22_B
23_T,2020-02-05,31000.0,29_A,23_B
24_T,2020-01-21,125000.0,30_A,24_B
25_T,2020-01-31,285000.0,31_A,25_B
26_T,2020-02-03,140500.0,32_A,26_B
27_T,2020-01-27,101050.0,33_A,27_B
13874_T,2020-04-17,490000.0,34_A,27_B
16974_T,2020-05-28,190850.0,35_A,27_B
28_T,2020-01-31,530000.0,36_A,28_B
78_T,2020-02-25,435000.0,36_A,78_B
29_T,2020-01-29,486415.0,37_A,29_B
30_T,2020-01-28,185000.0,38_A,30_B
123_T,2020-04-22,223905.0,38_A,123_B
31_T,2020-01-16,131376.0,39_A,31_B
32_T,2020-01-23,155000.0,40_A,32_B
33_T,2020-01-31,150000.0,41_A,33_B
34_T,2020-02-03,67000.0,42_A,34_B
35_T,2020-01-13,114000.0,43_A,35_B
36_T,2020-02-07,143850.0,44_A,36_B
37_T,2020-01-23,237900.0,45_A,37_B
38_T,2020-01-24,425000.0,46_A,38_B
39_T,2020-02-06,220000.0,47_A,39_B
40_T,2020-02-07,55000.0,48_A,40_B
41_T,2020-02-07,164665.0,49_A,41_B
42_T,2020-02-10,89000.0,50_A,42_B
43_T,2020-02-06,475150.0,51_A,43_B
44_T,2020-02-12,132500.0,52_A,44_B
45_T,2020-02-05,68000.0,53_A,45_B
46_T,2020-01-30,570840.0,54_A,46_B
47_T,2020-02-03,135700.0,55_A,47_B
48_T,2020-02-05,62500.0,56_A,48_B
49_T,2020-02-03,332500.0,57_A,49_B
165_T,2020-05-12,439785.0,57_A,165_B
50_T,2020-02-07,428000.0,58_A,50_B
51_T,2020-01-28,210000.0,59_A,51_B
52_T,2020-02-12,50000.0,60_A,52_B
2161_T,2020-05-11,75000.0,61_A,52_B
53_T,2020-01-28,592487.0,62_A,53_B
54_T,2020-02-10,295000.0,63_A,54_B
55_T,2020-02-12,133000.0,64_A,55_B
56_T,2020-01-29,580450.0,65_A,56_B
177_T,2020-06-17,595600.0,65_A,177_B
57_T,2020-02-20,105500.0,66_A,57_B
58_T,2020-02-04,152900.0,67_A,58_B
59_T,2020-02-05,352300.0,68_A,59_B
60_T,2020-02-17,215000.0,69_A,60_B
25842_T,2020-03-12,381000.0,70_A,60_B
61_T,2020-02-14,128460.0,71_A,61_B
11869_T,2020-04-07,220000.0,72_A,61_B
62_T,2020-02-14,90500.0,73_A,62_B
63_T,2020-02-11,305500.0,74_A,63_B
64_T,2020-02-18,430000.0,75_A,64_B
65_T,2020-02-04,152470.0,76_A,65_B
66_T,2020-02-13,55000.0,77_A,66_B
67_T,2020-02-18,465660.47,78_A,67_B
68_T,2020-02-12,167550.0,79_A,68_B
69_T,2020-02-11,212862.0,80_A,69_B
70_T,2020-02-19,54000.0,81_A,70_B
71_T,2020-02-14,390000.0,82_A,71_B
72_T,2020-02-24,160000.0,83_A,72_B
6017_T,2020-06-26,131500.0,84_A,72_B
73_T,2020-02-25,156580.0,85_A,73_B
74_T,2020-02-18,129258.0,86_A,74_B
75_T,2020-02-28,210000.0,87_A,75_B
76_T,2020-02-17,189350.0,88_A,76_B
77_T,2020-02-21,310000.0,89_A,77_B
79_T,2020-02-20,505000.0,91_A,79_B
80_T,2020-02-25,442100.0,92_A,80_B
81_T,2020-02-17,506000.0,93_A,81_B
82_T,2020-02-12,292000.0,94_A,82_B
83_T,2020-03-03,200000.0,95_A,83_B
84_T,2020-02-27,315800.0,96_A,84_B
85_T,2020-02-28,167000.0,97_A,85_B
86_T,2020-02-25,640000.0,98_A,86_B
87_T,2020-02-28,74000.0,99_A,87_B
88_T,2020-03-04,232550.0,100_A,88_B
89_T,2020-03-04,90000.0,100_A,89_B
90_T,2020-03-09,282000.0,102_A,90_B
91_T,2020-03-03,152000.0,103_A,91_B
97_T,2020-03-10,222450.0,103_A,97_B
92_T,2020-03-17,164000.0,104_A,92_B
93_T,2020-03-05,389500.0,105_A,93_B
94_T,2020-03-11,43000.0,106_A,94_B
95_T,2020-02-28,139130.0,107_A,95_B
96_T,2020-03-11,229100.0,108_A,96_B
30917_T,2020-05-18,632000.0,110_A,97_B
98_T,2020-03-16,147500.0,111_A,98_B
99_T,2020-03-10,440000.0,112_A,99_B
100_T,2020-03-02,495000.0,113_A,100_B
101_T,2020-03-11,510000.0,114_A,101_B
102_T,2020-03-27,170000.0,115_A,102_B
103_T,2020-03-03,251500.0,116_A,103_B
104_T,2020-03-19,98000.0,117_A,104_B
105_T,2020-03-25,132300.0,118_A,105_B
106_T,2020-03-10,126000.0,119_A,106_B
107_T,2020-03-16,131500.0,120_A,107_B
15576_T,2020-06-08,136000.0,121_A,107_B
108_T,2020-03-12,266960.0,122_A,108_B
157_T,2020-05-14,205000.0,122_A,157_B
109_T,2020-03-31,114500.0,123_A,109_B
110_T,2020-03-11,181970.0,124_A,110_B
111_T,2020-03-19,70000.0,125_A,111_B
112_T,2020-04-01,45000.0,126_A,112_B
113_T,2020-04-07,375000.0,127_A,113_B
114_T,2020-03-18,247000.0,128_A,114_B
133_T,2020-03-26,271000.0,128_A,133_B
115_T,2020-03-16,16300.0,129_A,115_B
612_T,2020-02-10,153600.0,130_A,115_B
116_T,2020-03-16,60000.0,131_A,116_B
117_T,2020-03-31,164000.0,132_A,117_B
118_T,2020-03-17,93585.0,133_A,118_B
119_T,2020-04-03,210000.0,134_A,119_B
120_T,2020-03-14,120000.0,135_A,120_B
121_T,2020-04-10,50000.0,136_A,121_B
122_T,2020-04-03,174850.0,137_A,122_B
22948_T,2020-02-11,234000.0,138_A,122_B
124_T,2020-04-15,540000.0,140_A,124_B
125_T,2020-04-15,230000.0,141_A,125_B
126_T,2020-04-08,445000.0,142_A,126_B
127_T,2020-04-27,44000.0,143_A,127_B
128_T,2020-04-09,145900.0,144_A,128_B
129_T,2020-04-22,57000.0,145_A,129_B
130_T,2020-04-21,138000.0,146_A,130_B
131_T,2020-04-09,190000.0,147_A,131_B
132_T,2020-03-16,182000.0,148_A,132_B
23358_T,2020-03-10,474000.0,150_A,133_B
134_T,2020-04-28,114400.0,151_A,134_B
135_T,2020-04-29,98000.0,152_A,135_B
136_T,2020-04-17,505000.0,153_A,136_B
137_T,2020-04-24,289150.0,154_A,137_B
138_T,2020-04-29,104000.0,155_A,138_B
139_T,2020-04-30,245000.0,156_A,139_B
140_T,2020-05-06,115000.0,157_A,140_B
141_T,2020-05-07,483800.0,158_A,141_B
142_T,2020-05-07,185000.0,159_A,142_B
143_T,2020-05-07,188000.0,160_A,143_B
144_T,2020-05-13,185000.0,161_A,144_B
145_T,2020-05-05,162000.0,162_A,145_B
146_T,2020-04-17,76000.0,163_A,146_B
147_T,2020-04-29,367000.0,164_A,147_B
148_T,2020-05-19,324050.0,165_A,148_B
149_T,2020-05-20,170000.0,166_A,149_B
150_T,2020-05-15,79370.0,167_A,150_B
151_T,2020-05-15,69800.0,168_A,151_B
152_T,2020-05-18,54120.0,169_A,152_B
19997_T,2020-02-20,140000.0,170_A,152_B
153_T,2020-05-19,116500.0,171_A,153_B
154_T,2020-05-12,136000.0,172_A,154_B
5916_T,2020-06-18,157800.0,173_A,154_B
5818_T,2020-05-11,108500.0,173_A,5818_B
155_T,2020-05-12,234810.0,174_A,155_B
5672_T,2020-05-06,24000.0,175_A,155_B
156_T,2020-05-15,410000.0,176_A,156_B
158_T,2020-05-06,294000.0,178_A,158_B
159_T,2020-05-11,620000.0,179_A,159_B
160_T,2020-05-12,230000.0,180_A,160_B
161_T,2020-05-15,469820.0,181_A,161_B
162_T,2020-05-29,371550.0,182_A,162_B
163_T,2020-05-12,315000.0,183_A,163_B
164_T,2020-05-20,82500.0,184_A,164_B
166_T,2020-05-18,65000.0,186_A,166_B
167_T,2020-05-15,469000.0,187_A,167_B
168_T,2020-05-18,161000.0,188_A,168_B
169_T,2020-05-19,513350.0,189_A,169_B
170_T,2020-06-02,83000.0,190_A,170_B
171_T,2020-06-02,471810.0,191_A,171_B
173_T,2020-06-04,243000.0,193_A,173_B
174_T,2020-06-04,100000.0,194_A,174_B
10531_T,2020-01-29,78000.0,195_A,174_B
10569_T,2020-04-15,90000.0,195_A,10569_B
175_T,2020-05-29,193700.0,196_A,175_B
176_T,2020-06-04,100000.0,197_A,176_B
178_T,2020-06-26,225000.0,199_A,178_B
179_T,2020-01-14,106000.0,200_A,179_B
180_T,2020-01-10,203400.0,201_A,180_B
181_T,2020-01-07,212150.0,202_A,181_B
